,treatment,treatment_time,passage_name,TROY_center,LGR5_center,ic50
1,HBSS,Fresh,Passage 1,-1.982495382,1.340321057,3.093
4,HBSS,One_day,Passage 1,-1.376314684,1.850014438,2.981
7,HBSS,Two_day,Passage 1,-0.310389167,-0.557499102,2.98
3,HTK,Fresh,Passage 1,-0.969791006,1.725671656,3.06
6,HTK,One_day,Passage 1,-0.70998523,2.528718378,2.913
9,HTK,Two_day,Passage 1,-2.659605398,0.024682138,2.743
2,UW,Fresh,Passage 1,-1.450832468,1.398056458,3.201
5,UW,One_day,Passage 1,-1.25401548,2.451033475,2.811
8,UW,Two_day,Passage 1,-2.333994315,1.213600995,3.148
46,HBSS,Fresh,Passage 6,0.714270855,3.970711234,3.585
49,HBSS,One_day,Passage 6,0.839403122,4.237503852,4.122
52,HBSS,Two_day,Passage 6,1.370796511,4.508688733,3.312
48,HTK,Fresh,Passage 6,0.300889605,3.553246361,3.617
51,HTK,One_day,Passage 6,0.364432593,4.417150259,3.215
54,HTK,Two_day,Passage 6,1.024004745,4.308352449,3.584
47,UW,Fresh,Passage 6,-0.409994917,4.0347144,3.4
50,UW,One_day,Passage 6,1.720486051,4.448481345,3.486
53,UW,Two_day,Passage 6,1.157825426,3.71087792,3.374
