nM	HBSS Fresh	HBSS Fresh	HBSS Fresh	UW Fresh	UW Fresh	UW Fresh	HTK Fresh	HTK Fresh	HTK Fresh	HBSS 24 hours	HBSS 24 hours	HBSS 24 hours	UW 24 hours	UW 24 hours	UW 24 hours	HTK 24 hours 	HTK 24 hours 	HTK 24 hours 	HBSS 48 hours	HBSS 48 hours	HBSS 48 hours	UW 48 hours 	UW 48 hours 	UW 48 hours 	HTK 48 hours	HTK 48 hours	HTK 48 hours	HBSS Fresh 2	HBSS Fresh 2	HBSS Fresh 2	UW Fresh 2	UW Fresh 2	UW Fresh 2	HTK Fresh 2	HTK Fresh 2	HTK Fresh 2	HBSS 24 hours 2	HBSS 24 hours 2	HBSS 24 hours 2	UW 24 hours 2	UW 24 hours 2	UW 24 hours 2	HTK 24 hours 2 	HTK 24 hours 2 	HTK 24 hours 2 	HBSS 48 hours 2	HBSS 48 hours 2	HBSS 48 hours 2	UW 48 hours 2	UW 48 hours 2	UW 48 hours 2	HTK 48 hours 2	HTK 48 hours 2	HTK 48 hours 2
200000	0.291	0.296	0.319	0.34	0.332	0.357	0.333	0.33	0.333	0.357	0.349	0.359	0.337	0.325	0.322	0.375	0.352	0.351	0.307	0.305	0.305	0.326	0.323	0.332	0.355	0.346	0.342	0.423	0.379	0.371	0.417	0.424	0.456	0.56	0.422	0.523	0.641	0.586	0.637	0.471	0.469	0.455	0.334	0.34	0.345	0.371	0.35	0.369	0.423	0.38	0.45	0.421	0.361	0.384
63290.625	0.327	0.336	0.343	0.38	0.4	0.398	0.365	0.381	0.369	0.377	0.392	0.388	0.336	0.333	0.339	0.399	0.408	0.419	0.325	0.321	0.321	0.357	0.37	0.402	0.371	0.363	0.381	0.649	0.583	0.552	0.578	0.454	0.552	0.536	0.623	0.696	0.952	0.883	1.107	0.548	0.645	0.62	0.381	0.351	0.373	0.453	0.399	0.438	0.607	0.658	0.682	0.376	0.375	0.399
40058.75	0.336	0.334	0.341	0.382	0.403	0.397	0.37	0.371	0.353	0.417	0.386	0.385	0.349	0.339	0.335	0.401	0.413	0.403	0.343	0.329	0.331	0.383	0.372	0.37	0.382	0.384	0.39	0.601	0.633	0.621	0.512	0.523	0.533	0.916	0.84	0.708	0.954	1.025	1.006	0.55	0.773	0.614	0.392	0.349	0.359	0.618	0.492	0.502	0.732	0.647	0.775	0.405	0.424	0.486
6338.125	0.355	0.337	0.367	0.407	0.431	0.443	0.376	0.383	0.446	0.416	0.41	0.431	0.35	0.299	0.322	0.407	0.401	0.35	0.329	0.356	0.36	0.36	0.383	0.368	0.396	0.386	0.392	0.819	0.998	0.712	0.933	0.713	0.69	0.955	0.908	1.273	1.305	1.391	1.572	0.831	0.865	0.742	0.394	0.373	0.529	0.432	0.482	0.588	0.908	0.716	0.544	0.562	0.535	0.383
2005.625	0.34	0.359	0.394	0.477	0.402	0.463	0.451	0.423	0.513	0.467	0.485	0.46	0.486	0.4	0.41	0.488	0.467	0.408	0.358	0.367	0.38	0.437	0.368	0.388	0.447	0.387	0.444	1.712	1.9	1.66	1.115	1.267	1.143	2.01	1.918	2.097	2.33	2.288	2.207	2.022	1.371	1.512	0.764	0.722	0.71	0.922	0.748	0.733	1.126	1.601	1.258	1.466	1.292	1.434
635	0.491	0.442	0.493	0.639	0.521	0.645	0.619	0.606	0.636	0.675	0.594	0.603	0.482	0.483	0.656	0.573	0.625	0.59	0.425	0.421	0.472	0.551		0.528	0.664	0.58	0.573	2.176	2.133	2.049	1.788	1.937	1.94	2.155	2.167	2.244	2.281	2.326	2.351	2.164	2.24	2.106	1.019	1.055	1.192	0.982	1.205	1.322	1.716	1.761	2.007	1.505	1.203	1.626
200.8125	0.549	0.502	0.584	0.62	0.656	0.682	0.667	0.589	0.654	0.686	0.742	0.667	0.57	0.51	0.569	0.776	0.753	0.681	0.441	0.479	0.433	0.571	0.558	0.595	0.596	0.555	0.617	2.09	2.265	2.304	1.712	1.731	1.555	2.241	2.214	2.252	2.308	2.295	2.277	2.146	2.167	2.272	1.374	1.219	1.088	1.199	1.48	1.005	2.141	2.203	1.979	1.441	1.375	1.558
63.5625	0.491	0.584	0.551	0.641	0.708	0.693	0.692	0.689	0.716	0.741	0.693	0.89	0.579	0.562	0.613	0.539	0.576	0.614	0.52	0.485	0.436	0.571	0.546	0.609	0.689	0.624	0.825	2.19	2.336	2.421	1.655	1.751	1.646	2.172	2.173	2.291	2.266	2.286	2.504	2.281	1.874	2.427	0.774	0.698	1.038	1.182	0.911	1.724	1.998	2.026	1.915	1.419	1.604	0.945
1	0.499	0.565	0.547	0.625	0.555	0.6	0.739	0.678	0.785	0.579	0.63	0.682	0.616	0.744	0.499	0.921	0.655	0.656	0.531	0.508	0.493	0.527	0.487	0.522	0.758	0.78	0.706	2.099	2.295	2.241	1.241	1.344	1.915	2.23	2.185	2.292	2.319	2.323	2.274	1.65	1.701	1.768	1.132	1.696	0.95	0.994	1.28	1.175	1.734	1.847	2	1.185	1.08	1.6
	0.318	0.327	0.336	0.286	0.327	0.323	0.362	0.354	0.366	0.337	0.323	0.331	0.377	0.346	0.355	0.33	0.323	0.341	0.352	0.341	0.343	0.303	0.307	0.327	0.354	0.357	0.348	0.275	0.268	0.281	0.257	0.262	0.264	0.271	0.281	0.279	0.295	0.264	0.281	0.259	0.265	0.256	0.296	0.289	0.293	0.254	0.253	0.252	0.249	0.251	0.243	0.258	0.26	0.267
